nombre,sector,precio,area,habitaciones,banos,parqueadero,fecha
Departamento Venta 3 Dorm. + Estudio (La Carolina / Cci),"Centro Norte, Quito",110.000,92,3,2,1.0,2021-10-02
"Hermoso Departamento de Venta, Dúplex, 4 Dorm., Villa Regina, Quito Tenis","Quito Tenis, Quito",750.000,644,4,3,3.0,2021-10-02
Departamento de Venta Sector La Coruña - González Suárez,"Centro Norte, Quito",135.000,85,2,2,2.0,2021-10-02
"Departamento Venta Quito, La Carolina 2 Dorm Nuevo Estrenar","La Carolina, Quito",230.000,119,2,2,2.0,2021-10-02
"Vendo o Rento Departamento de Lujo con Terraza, Cumbaya!","Cumbayá, Quito",271.000,170,2,2,1.0,2021-10-02
"Departamento Duplex, Renta, Venta, 3 Dorm., Ciudad Occidente","Norte de Quito, Quito",95.000,150,3,2,1.0,2021-10-02
"Venta, Departamento, 2 Dorm..","Norte de Quito, Quito",62.000,100,2,2,1.0,2021-10-02
NN,"Cumbayá, Quito",192.806,115,2,2 ,0.0,2021-10-02
NN,"La Carolina, Quito",103.000,70,1,1 a 2 ,0.0,2021-10-02
NN,"Monteserrín, Quito",82.585,49,1,1 a 2 ,0.0,2021-10-02
NN,"Centro Norte, Quito",130.797,97,2,2 a 3 ,0.0,2021-10-02
NN,"Ponceano, Quito",137.900,107,3,2 ,0.0,2021-10-02
NN,"La Carolina, Quito",112.304,60,1,1 a 2 ,0.0,2021-10-02
NN,"Bellavista, Quito",91.200,46,1,1 a 3 ,0.0,2021-10-02
NN,"Cumbayá, Quito",121.601,67,1,1 a 3 ,0.0,2021-10-02
NN,"La Carolina, Quito",59.100,67,2,2 ,0.0,2021-10-02
NN,"Ponceano, Quito",81.520,55,1,1 a 3 ,0.0,2021-10-02
"Departamento Venta 2 Dorm., La Carolina (Quito) de Lujo Vista, Piscina","La Carolina, Quito",169.000,76,2,2,1.0,2021-10-02
"Departamento Duplex en Venta, Cerca Al C. C El Bosque","Centro Norte, Quito",220.000,180,3,2,2.0,2021-10-02
Departamento en Venta en Quito Granda Centeno,"Granda Centeno, Quito",145.000,106,2,2,1.0,2021-10-02
"Departamento Dúplex, 3 Habitaciones, Venta, a Estrenar, Nayón","Nayón - Tanda, Quito",317.000,251,3,3,2.0,2021-10-02
Venta. Departamento. Nuevo. por Estrenar. con Terraza. Intervalles,"Cumbayá, Quito",195.000,140,2,2,2.0,2021-10-02
"Departamento Venta con Jardín, 2 Dorm. Cumbayá (San Juan)","Cumbayá, Quito",155.000,171,2,2,1.0,2021-10-02
Venta Departamento 105 m² de 3 Dorm. Urbanización El Condado,"El Condado, Quito",150.000,105,3,2,2.0,2021-10-02
"Venta Penthouse, San Juan Alto Cumbaya, 2 Dorm., 287 m²","Cumbayá, Quito",325.000,288,2,3,2.0,2021-10-02
"San Juan de Cumbaya, Hermoso Departamento con Balcon, Vista $165.000","Cumbayá, Quito",165.000,113,3,2,2.0,2021-10-02
Departamento 2 Dorm. Venta 803 Edificio Arbat Sector Rep. de El Salvador,"La Carolina, Quito",166.553,83,2baños,1estac.,0.0,2021-10-02
Hermoso Departamento de Venta 267.40 m² / $222.000 - Sector Cumbaya,"Cumbayá, Quito",222.000,267,3,3,2.0,2021-10-02
Departamento - Ponceano,"Ponceano, Quito",126.000,105,3,2,2.0,2021-10-02
"Venta, Departamento, Remodelado, Sector El Inca","El Inca, Quito",79.000,97,3,1,1.0,2021-10-02
"Departamento en Venta Cumbayá 3 Dorm. Terraza, Patio, Jardín por Estrenar","Cumbayá, Quito",258.000,258,3,2,2.0,2021-10-02
NN,"Norte de Quito, Quito",71.700,88,2,2 ,0.0,2021-10-02
NN,"Norte de Quito, Quito",84.000,80,2,2 ,0.0,2021-10-02
NN,"Cumbayá, Quito",183.000,118,2,2 a 3 ,0.0,2021-10-02
NN,"Norte de Quito, Quito",67.760,49,1,1 a 2 ,0.0,2021-10-02
NN,"Centro Norte, Quito",97.544,65,1,1 a 2 ,0.0,2021-10-02
NN,"Cumbayá, Quito",164.959,89,2,2 ,0.0,2021-10-02
NN,"Centro Norte, Quito",94.370,51,1,1 a 3 ,0.0,2021-10-02
NN,"Centro Norte, Quito",105.306,71,1,1 a 3 ,0.0,2021-10-02
NN,"Centro Norte, Quito",95.377,63,1,1 a 2 ,0.0,2021-10-02
NN,"Centro Norte, Quito",92.378,62,1,1 a 3 ,0.0,2021-10-02
"Departamento 3 Dorm. (Ascensor), Sector Tumbaco","Tumbaco, Quito",99.000,135,3,2,1.0,2021-10-02
Departamento en Venta Parque de Cumbayá - 2 Dorm.,"Cumbayá, Quito",175.000,112,2,2,2.0,2021-10-02
Venta Yoo Quito Departamento 3 Dorm. de Oportunidad,"González Suárez, Quito",450.000,195,3,3,3.0,2021-10-02
Departamento en Venta - Quito Tenis - 3 Dormtiorios,"Quito Tenis, Quito",187.300,145,3,2,2.0,2021-10-02
Bosque Colinas del Pichincha Lindo Departamento Aterrazado,"El Bosque , Quito",215.000,290,3,2,2.0,2021-10-02
"Hermoso Departamento de Lujo, 2 Dorm. Quito Tenis","Norte de Quito, Quito",181.000,122,2,2,2.0,2021-10-02
Vendo Lindo Departamento por Estrenar - Ponceano Alto - 2 Habitaciones - $109.900,"Norte de Quito, Quito",109.900,92,2,2,2.0,2021-10-02
Suite de Venta 1101. Edificio Artemis Sector La Carolina,"Centro Norte, Quito",110.000,49,1,1,1.0,2021-10-02
Departamento 3d de Venta - Ponceano Alto,"Ponceano, Quito",89.900,147,3,2,2.0,2021-10-02
Suite de Venta por Estrenar con Amplio Balcon Espectacular Vista Piso 7 Sector Gonzalez Suarez,"González Suárez, Quito",145.000,80,1,1,1.0,2021-10-02
"Departamento Duplex Excelente Distribución, Sector El Pinar","El Pinar, Quito",99.000,92,2,2,1.0,2021-10-02
"Bellavista, Oportunidad, Muy Buen Departamento 3 Dorm. por Restaurar $105.000","Bellavista, Quito",105.000,135,3,2,2.0,2021-10-02
"Vendo Departamento 3 Dorm. Eloy Alfaro y Juncos, Edificio con Ascensor","Norte de Quito, Quito",69.900,124,3,2,2.0,2021-10-02
Amplio Departamento - Los Laureles,"Norte de Quito, Quito",189.000,360,4,3,0.0,2021-10-02
NN,"Monteserrín, Quito",148.000,83,2,2 a 3 ,0.0,2021-10-02
NN,"Norte de Quito, Quito",82.000,88,2,2 ,0.0,2021-10-02
NN,"Los Chillos, Quito",64.810,53,1,1 a 3 ,0.0,2021-10-02
NN,"La Carolina, Quito",47.000,25,1,1 a 2 ,0.0,2021-10-02
NN,"La Carolina, Quito",50.990,26,1,1 a 2 ,0.0,2021-10-02
NN,"Centro Norte, Quito",57.814,27,1,1 a 2 ,0.0,2021-10-02
NN,"Centro Norte, Quito",89.200,78,1,1 a 2 ,0.0,2021-10-02
NN,"Centro Norte, Quito",78.514,60,1,1 a 2 ,0.0,2021-10-02
NN,"El Bosque , Quito",99.000,55,1,1 a 2 ,0.0,2021-10-02
NN,"Tumbaco, Quito",92.472,73,2,2 ,0.0,2021-10-02
Departamento de Venta Remodelado en El Mejor Sector de Cumbayá,"Cumbayá, Quito",215.000,225,3,3,3.0,2021-10-02
"Sector El Bosque, Hermoso Departamento, 3 Dorm.","El Pinar, Quito",110.000,116,3,2,1.0,2021-10-02
"Departamento con Terraza, 3 Dorm., Venta, Ponceano Alto","Ponceano, Quito",92.000,142,3,2,1.0,2021-10-02
Departamento - La Carolina,"La Carolina, Quito",142.647,94,2,2,1.0,2021-10-02
Bosque Departamento con Linda 130.000 Dólares,"El Bosque , Quito",130.000,180,3,2,2.0,2021-10-02
Venta Dpto 2 Dorm por Estrenar. Ruta Viva Cumbayá,"Cumbayá, Quito",155.358,95,2,2,0.0,2021-10-02
"Departamento, Nuevo, Centro Comercial El Bosque","El Bosque , Quito",115.000,90,2,2,1.0,2021-10-02
Venta Dpto 3 Dorm Terraza. Cumbaya. Ruta Viva,"Cumbayá, Quito",242.995,169,3,2,0.0,2021-10-02
Republica Carolina Oportunidad Departamento Dos Dorm.,"La Carolina, Quito",85.000,67,2,2,1.0,2021-10-02
Departamento 2 Dorm. con Jardín 101 Sector República de El Salvador,"La Carolina, Quito",167.306,123,2,2,2.0,2021-10-02
Departamento en Venta Granda Centeno Quito,"Granda Centeno, Quito",149.000,106,2,2,1.0,2021-10-02
Venta de Oportunidad Departamento 3 Dorm. Urbanización El Condado,"El Condado, Quito",100.000,122,3,2,2.0,2021-10-02
"Hermoso Departamento de Venta en Cumbaya, Miravalle 1","Miravalle, Quito",360.000,375,3,2,2.0,2021-10-02
Venta de Departamento Dúplex - Cumbayá,"Cumbayá, Quito",194.000,261,3,2,2.0,2021-10-02
NN,"Sur de Quito, Quito",42.210,52,2,1 a 2 ,0.0,2021-10-02
NN,"Centro Norte, Quito",64.500,48,1,2 ,0.0,2021-10-02
NN,"Tumbaco, Quito",136.900,141,1,1 a 2 ,0.0,2021-10-02
NN,"Centro Norte, Quito",97.790,86,2,2 ,0.0,2021-10-02
NN,"El Inca, Quito",57.890,57,2,2 ,0.0,2021-10-02
NN,"Quito Tenis, Quito",97.000,56,1,1 a 2 ,0.0,2021-10-02
NN,"Tumbaco, Quito",72.000,77,2,2 ,0.0,2021-10-02
NN,"Carapungo, Quito",64.157,63,2,2 ,0.0,2021-10-02
NN,"Quitumbe, Quito",61.600,63,2,2 ,0.0,2021-10-02
NN,"Norte de Quito, Quito",71.050,104m²,3,2 ,0.0,2021-10-02
Departamento Venta 3 Dorm. La Mariscal (Clínica Pichincha,"Centro Norte, Quito",83.900,95,3,2,1.0,2021-10-02
Granda Centeno Hermoso Departamento 3 Dorm.,"Granda Centeno, Quito",230.000,173,3,2,2.0,2021-10-02
Departamento en Venta El Dorado 203 m 2 Quito,"Centro Norte, Quito",155.000,203,4,2,1.0,2021-10-02
Vendo Suite por Estrenar en Bellavista. 65 m de Construcción.,"Bellavista, Quito",85.000,65,1,1,1.0,2021-10-02
Lindo Departamento La Delicia 98 m². 3 Dorm.,"Norte de Quito, Quito",65.000,124,3,2,2.0,2021-10-02
"Oportunidad! Departamento Esquinero, en Venta (El Batán, Megamaxi, La Carolina)","El Batán, Quito",137.000,172,3,2,2.0,2021-10-02
Venta Hermoso Duplex en Cumbayá,"Cumbayá, Quito",265.000,332,2,2,2.0,2021-10-02
"Departamento Como Nuevo 160 Mtrs Monteserrín, 3 Dorm. Más Estudio","Monteserrín, Quito",150.000,161,3,2,2.0,2021-10-02
Gonzales Suarez Hermoso Departamento Jardin Terraza Vista,"González Suárez, Quito",390.000,424,3,3,3.0,2021-10-02
Apartamento 3 Dorm. - 2.5 Baños - 2 Terrazas - Vista - Sala Estar - Lomas de Monteserrín,"Monteserrín, Quito",260.000,202,3,2,2.0,2021-10-02
"Granda Centeno, Hermoso Pent House por Estrenar *bajo de Precio*","Granda Centeno, Quito",280.000,194,3,3,3.0,2021-10-02
Venta de Increíble Estudio en Edificio Eco - Eficiente - La Carolina,"La Carolina, Quito",49.990,26,1,1,0.0,2021-10-02
Fantástico Departamento (A Estrenar) 2 Dor. en Venta (Cumbayá / La Primavera),"Cumbayá, Quito",143.000,92,2,2,2.0,2021-10-02
"Departamento, en Venta en Jardines del Batan","El Batán, Quito",280.000,170,2,2,2.0,2021-10-02
NN,"Mitad del Mundo, Quito",66.500,69,3,2 ,0.0,2021-10-02
NN,"Centro Norte, Quito",127.900,61,1,1 a 2 ,0.0,2021-10-02
NN,"Norte de Quito, Quito",72.000,66,1,1 a 2 ,0.0,2021-10-02
NN,"Conocoto, Quito",90.000,90,3,2 ,0.0,2021-10-02
NN,"Centro Norte, Quito",99.000,94,1,1 a 2 ,0.0,2021-10-02
NN,"Centro Norte, Quito",94.541,50,1,1 a 2 ,0.0,2021-10-02
NN,"Calderón, Quito",56.400,76,3,2 ,0.0,2021-10-02
NN,"Cumbayá, Quito",462.000,318m²,3,4 ,0.0,2021-10-02
NN,"Norte de Quito, Quito",95.325,90,2,2 ,0.0,2021-10-02
NN,"Ponceano, Quito",81.900,80,1,1 a 2 ,0.0,2021-10-02
Departamento 3 Dorm. de Venta 402 Edificio Artemis Sector La Carolina,"La Carolina, Quito",179.554,99,3baños,2estac.,0.0,2021-10-02
"Departamento (Remodelado), Sector González Suárez","González Suárez, Quito",349.000,355,4,4,2.0,2021-10-02
"En Venta Departamento de 1 Dormitorio, 104 Mtrs Gonzalez Suarez","González Suárez, Quito",155.000,145,1,1,2.0,2021-10-02
Granda Centeno Hermoso Departamento Dos Dorm.,"Granda Centeno, Quito",130.000,110,2,2,2.0,2021-10-02
Departamento - González Suárez,"González Suárez, Quito",110.000,80,2,2,1.0,2021-10-02
"Vendo Departamento por Estrenar 90 m². 2d. Balcon, G. Suarez","Centro Norte, Quito",155.000,90,2,2,1.0,2021-10-02
"Venta, Departamento 3 Dorm, con Terraza","Centro Norte, Quito",163.000,140,3,2,2.0,2021-10-02
"Venta Dpto. 151 m², 3 Dorm. Av Gaspar de Villarroel, Quito","Centro Norte, Quito",178.700,181,3,2,2.0,2021-10-02
Quiteño Libre con Espectacular Vista en Arriendo Amoblado o Venta,"Centro Norte, Quito",190.000,180,2,2,2.0,2021-10-02
Hermoso Departamento Duplex de Venta 248 m² / $189.000 Ponceano Alto,"Ponceano, Quito",189.000,248,3,2,3.0,2021-10-02
"Departamento con Hermosa Vista, Piscina (Dentro de Urbanización) Cumbayá Vendo","Cumbayá, Quito",230.000,140,3,2,2.0,2021-10-02
"Departamento por Estrenar 3 Dorm. en La Primavera, Venta.","Cumbayá, Quito",168.000,113,3,2,2.0,2021-10-02
Departamento en Venta 200 m² Edificio Quiteño Libre,"González Suárez, Quito",280.000,220,3,3,3.0,2021-10-02
"Vendo Lindo Departamento 2 Dorm., 105 m², Bosmediano","Centro Norte, Quito",125.000,105,2,1,1.0,2021-10-02
NN,"Centro Norte, Quito",64.942,44,1,1 a 2 ,0.0,2021-10-02
NN,"Quito Tenis, Quito",105.800,79,1,2 a 4 ,0.0,2021-10-02
NN,"La Carolina, Quito",165.295,85m²,2,2 ,0.0,2021-10-02
NN,"Granda Centeno, Quito",104.990,83,1,1 a 2 ,0.0,2021-10-02
NN,"Ponceano, Quito",130.000,85,2,2 ,0.0,2021-10-02
NN,"Los Chillos, Quito",90.000,90,3,2 ,0.0,2021-10-02
NN,"La Carolina, Quito",71.283,35,1,1 a 2 ,0.0,2021-10-02
NN,"Los Chillos, Quito",69.900,77,3,1 a 2 ,0.0,2021-10-02
NN,"Cumbayá, Quito",207.399,144,2,2 a 3 ,0.0,2021-10-02
NN,"Tumbaco, Quito",107.900,82,2,2 ,0.0,2021-10-02
Departamento de 2 Dorm. por Estrenar - La Primavera - Cumbayá,"Cumbayá, Quito",198.000,99,2,2,2.0,2021-10-02
"Hermoso Departamento de Venta, 3 Dorm., Patio, Quito Tenis","Quito Tenis, Quito",319.000,332,3,4,2.0,2021-10-02
"Departamento, Venta,, Quito Tenis, 3 Dorm., a Estrenar","Quito Tenis, Quito",244.228,151,3,2,2.0,2021-10-02
"Departamento - de Venta - Jardines del Batan, Ecuador.","El Batán, Quito",179.900,166,2,2,1.0,2021-10-02
"Departamento Dúplex, Venta, Conjunto Ciudad Occidente","Norte de Quito, Quito",102.000,135,3,2,2.0,2021-10-02
Oportunidad Amplio y Remodelado Departamento - San Carlos,"San Carlos, Quito",67.000,140,3,2,1.0,2021-10-02
"Departamento en El Bosque, con Excelente Vista por La Carvajal 205.000dólares","Centro Norte, Quito",205.000,255,28,3,2.0,2021-10-02
Venta Departamento Sector González Suárez,"González Suárez, Quito",139.000,82,2,2,2.0,2021-10-02
"Departamento Dúplex en Venta, Tumbaco Nuevo 3 Dorm.","Tumbaco, Quito",165.000,174,3,3,2.0,2021-10-02
"Cumbaya, Departamento de 2 Dorm. con Balcón!","Cumbayá, Quito",143.000,130,2,2,2.0,2021-10-02
Departamento de Venta - Quito - Sector Ute,"Centro Norte, Quito",142.000,141,3,2,1.0,2021-10-02
Departamento en Venta Quito Tenis,"Quito Tenis, Quito",235.000,264,3,2,2.0,2021-10-02
Pinar Departamento Habitaciones Estrenar Vista Espectacular,"Centro Norte, Quito",165.000,164,3,3,2.0,2021-10-02
Departamento de Venta 155 m² - Sector Bellavista,"Bellavista, Quito",185.000,155,2,2,2.0,2021-10-02
NN,"Centro Norte, Quito",109.772,43,1,1 a 2 ,0.0,2021-10-02
NN,"Centro Norte, Quito",130.674,64,1,1 a 2 ,0.0,2021-10-02
NN,"Norte de Quito, Quito",58.703,50,1,1 a 2 ,0.0,2021-10-02
NN,"Centro Norte, Quito",213.446,105,2,0,0.0,2021-10-02
NN,"Centro Norte, Quito",219.239,117m²,3,2 ,0.0,2021-10-02
NN,"Norte de Quito, Quito",95.000,116,2,2 ,0.0,2021-10-02
NN,"Ponceano, Quito",113.300,81,2,2 ,0.0,2021-10-02
NN,"Centro Norte, Quito",82.500,51,1,1 a 2 ,0.0,2021-10-02
NN,"Los Chillos, Quito",75.653,80,1,2 a 4 ,0.0,2021-10-02
NN,"El Bosque , Quito",126.646,68,2,2 a 3 ,0.0,2021-10-02
"Bellavista, Departamento 3 Dorm. en Venta, Vista","Bellavista, Quito",184.900,182,3,2,3.0,2021-10-02
Departamento 3 Dorm. 1202 Edificio Artemis Sector La Carolina,"La Carolina, Quito",198.872,98,3,2,2.0,2021-10-02
Departamento en Bellavista 135.000 Dólares,"Centro Norte, Quito",135.000,120,2,2,1.0,2021-10-02
"Cumbaya, Oportunidad. Lujoso Dpto. 3 Dorm., $312.800","Cumbayá, Quito",312.800,184,3,3,2.0,2021-10-02
Departamento de 3 Dorm. de Venta a Estrenar - Sector Solca,"Amagasí, Quito",138.500,143,3,2,1.0,2021-10-02
Venta de Departamento Sector Atahualpa y Amazonas,"Centro Norte, Quito",110.000,97,3,2,1.0,2021-10-02
Departamento - Iñaquito Alto,"La Carolina, Quito",129.900,86,2,2,2.0,2021-10-02
Departamento 3 Dorm. 502 Edificio Artemis Sector La Carolina,"La Carolina, Quito",190.031,98,3,3,2.0,2021-10-02
Vendo PH de 3 Dorm. Cómodo - Granda Centeno,"Granda Centeno, Quito",208.000,200,3,3,2.0,2021-10-02
Espectacular PH Quito Tenis,"Quito Tenis, Quito",640.000,336,3,3,5.0,2021-10-02
"Cumbaya, Oportunidad. Espectacular Dpto. Vista, 3 Dorm. $442.000","Cumbayá, Quito",442.000,260,3,3,3.0,2021-10-02
Venta Departamento 2 Dorm. - González Suárez / Gonessiat,"González Suárez, Quito",165.000,119,2,2,3.0,2021-10-02
Departamento en Venta en La Granda Centeno,"Granda Centeno, Quito",139.000,88,2,2,1.0,2021-10-02
"Departamento en Venta, Colegio Einstein. Vista Panorámica, Independiente, Seguro","Carcelén, Quito",109.000,157,3,2,2.0,2021-10-02
NN,"Centro Norte, Quito",117.684,79,1,1 a 2 ,0.0,2021-10-02
NN,"Quito Tenis, Quito",91.000,50,1,1 a 2 ,0.0,2021-10-02
NN,"Centro Norte, Quito",61.780,27,1,1 a 2 ,0.0,2021-10-02
NN,"Norte de Quito, Quito",66.163,67,2,2 ,0.0,2021-10-02
NN,"Tumbaco, Quito",59.998,70,2,2 ,0.0,2021-10-02
NN,"Sur de Quito, Quito",31.540,15,3,2 ,0.0,2021-10-02
NN,"Quito Tenis, Quito",150.000,104,2,2 ,0.0,2021-10-02
NN,"Centro Norte, Quito",87.932,70,1,1 a 2 ,0.0,2021-10-02
"Quito Tenis - Parque Azkúnaga, Excelente Departamento de 3 Dorm. de 185,50 m² en Venta","Quito Tenis, Quito",258.000,185,3,3,2.0,2021-10-02
"La Carolina, Venta, Departamento, 90,85 m², 2 Habitaciones, 2.5 Baños","La Carolina, Quito",209.000,106,2,2,0.0,2021-10-02
Vendo Bonito Departamento 111 m² - 2 Dorm. - Cumbayá - 0 9 8 3 5 5 9 9 4 5,"Cumbayá, Quito",185.000,141,2,2,2.0,2021-10-02
Departamento en Venta Sector Granados 3 Dormitoiros $125.000,"Centro Norte, Quito",125.000,105,3,2,1.0,2021-10-02
Pent House Amplio Sector Av Orellana y 9 Octubre en Venta con Vista,"Centro Norte, Quito",145.000,287,4,3,1.0,2021-10-02
"Oportunidad La Concepción, Dpto. Nuevo 3 Dorm. 120 m² con Patio, Ascensor","Norte de Quito, Quito",120.000,140,3,2,1.0,2021-10-02
"Granda Centeno, Departamento, 65 m², 2 Habitaciones, 3 Baños, 1 Parqueadero","Centro Norte, Quito",103.101,65,2,2,0.0,2021-10-02
Departamentos – Venta - 95 Mtrs - Vista Panoramica - Pinar Bajo,"El Pinar, Quito",117.000,95,2,2,1.0,2021-10-02
Venta Departamento 3 Dorm. Cerca Al Condado,"El Condado, Quito",96.450,125,3,2,1.0,2021-10-02
Inmobusiness Vende Amplio Departamento en El Quito Tenis,"Quito Tenis, Quito",270.000,283,3,2estac.,0.0,2021-10-02
Venta Carcelen 3 Dorm a Estrenar Conjunto con Piscina,"Norte de Quito, Quito",65.000,86,3,2,1.0,2021-10-02
Vendo Dept Muy Acogedor 2 Dorm. Terraza Sector González Suárez,"González Suárez, Quito",200.000,125,2,2,1.0,2021-10-02
Lindo Departamento en La Cochapata de Venta 125.000 Usd!,"Centro Norte, Quito",125.000,96,2,2,1.0,2021-10-02
Práctico Departamento a La Venta de 2 Dorm. Sector El Inca - Av Amazonas,"Centro Norte, Quito",91.999,105,1baño,1estac.,0.0,2021-10-02
Inmobusiness Vende Moderno Departamento Sector Batan Bajo,"El Batán, Quito",238.000,150,3,3,2.0,2021-10-02
¡De Oportunidad Departamento en Venta! - Ponceano Alto - Norte,"Norte de Quito, Quito",85.000,98,3,2,1.0,2021-10-02
En Renta o Venta Hermosa Suite Sector Orellana,"Centro Norte, Quito",76.000,72,1,1,1.0,2021-10-02
"Vendo Departamento Amplio, Remodelado Sector El Batan","El Batán, Quito",168.000,171,3,2,1.0,2021-10-02
"Precioso, Amplio y Luminoso - Departamento en Venta - Hermosa Zona de Tumbaco","Tumbaco, Quito",158.000,200,3,3,2.0,2021-10-02
Excelente Departamento Sta Lucía Jardín Vista,"Cumbayá, Quito",315.000,250,2baños,2estac.,0.0,2021-10-02
"Oportunidad Venta Dep. Exclusivo, Luminoso 3 Habitaciones, Hospital Metropolitano","Centro Norte, Quito",155.000,230,3,2,1.0,2021-10-02
Inmobusiness Vende Amplio Departamento Sector Monteserrin,"Monteserrín, Quito",150.000,160,3,2,1.0,2021-10-02
"Departamento 3 Dorm., Tumbaco Ruta Viva, Piscina","Tumbaco, Quito",178.000,164,3,2,2.0,2021-10-02
"Quicentro, Departamento, 71 m², 2 Habitaciones, 2 Baños, 1 Parqueadero","Centro Norte, Quito",135.668,71,2,2,0.0,2021-10-02
Vendo Hermoso Depto de 2 Dorm. con Jardin - Cumbaya,"Cumbayá, Quito",370.000,330,2,2,2.0,2021-10-02
"Sector Quito Tenis, Hermoso Departamento 110 m²","Quito Tenis, Quito",190.000,150,2,2,2.0,2021-10-02
Espectacular Suite de Venta Antonio Granda Centeno,"Granda Centeno, Quito",107.580,59,1,1,1.0,2021-10-02
Departamentos y Suites de Lujo Cerca Universidad Catolica con Parq. y Bodega,"Norte de Quito, Quito",81.740,45,1baño,1estac.,0.0,2021-10-02
Venta - Departamento a Estrenar - Cerca a La Carolina,"Centro Norte, Quito",111.200,79,2,2,1.0,2021-10-02
Vende Departamento 275 m² - Sector La Carolina,"La Carolina, Quito",235.000,275,3,2,2.0,2021-10-02
Venta Departamento en La Gasca Como Inversion,"Centro Norte, Quito",80.000,133,4,2,1.0,2021-10-02
